"registry_code","age_group","number_of_cases","person_years_at_risk","incidence_rate_100000","latitude","longitude"
207601299,3,0,278159,0,-25.4295963,-49.2712724
207601799,9,1,23156,4.31853515287614,-22.293585,-48.559193
207601799,10,4,22810,17.5361683472161,-22.293585,-48.559193
207601799,6,0,30199,0,-22.293585,-48.559193
207601799,7,0,28232,0,-22.293585,-48.559193
207601799,14,11,8353,131.689213456243,-22.293585,-48.559193
207601799,15,11,6992,157.322654462243,-22.293585,-48.559193
207601799,2,0,23300,0,-22.293585,-48.559193
207601799,11,4,20606,19.4118217994759,-22.293585,-48.559193
207601799,5,0,28364,0,-22.293585,-48.559193
207601799,1,0,21696,0,-22.293585,-48.559193
207601799,8,0,24798,0,-22.293585,-48.559193
207601799,12,8,16541,48.3646696088507,-22.293585,-48.559193
207601799,13,15,12200,122.950819672131,-22.293585,-48.559193
207601799,4,0,25308,0,-22.293585,-48.559193
207601799,3,0,24613,0,-22.293585,-48.559193
207602099,6,0,27411,0,-21.790833,-46.5657169
207602099,11,1,17697,5.65067525569306,-21.790833,-46.5657169
207602099,14,12,8232,145.772594752187,-21.790833,-46.5657169
207602099,15,15,6260,239.61661341853,-21.790833,-46.5657169
207602099,5,0,26231,0,-21.790833,-46.5657169
207602099,2,0,21146,0,-21.790833,-46.5657169
207602099,10,0,19250,0,-21.790833,-46.5657169
207602099,9,0,20299,0,-21.790833,-46.5657169
207602099,13,3,11788,25.4496097726502,-21.790833,-46.5657169
207602099,7,0,25088,0,-21.790833,-46.5657169
207602099,8,0,21774,0,-21.790833,-46.5657169
207602099,12,7,15347,45.6115201668078,-21.790833,-46.5657169
207602099,1,0,19747,0,-21.790833,-46.5657169
207602099,4,0,24083,0,-21.790833,-46.5657169
207602099,3,0,22999,0,-21.790833,-46.5657169
215200199,13,13,37430,34.7314987977558,-39.8141965,-73.2458525
215200199,11,8,59642,13.4133664196372,-39.8141965,-73.2458525
215200199,9,0,66009,0,-39.8141965,-73.2458525
215200199,15,25,22031,113.476464981163,-39.8141965,-73.2458525
215200199,6,0,71360,0,-39.8141965,-73.2458525
215200199,10,3,69757,4.30064366300156,-39.8141965,-73.2458525
215200199,14,22,29813,73.793311642572,-39.8141965,-73.2458525
215200199,1,0,68656,0,-39.8141965,-73.2458525
