"registry_code","discription","latitude","longitude","distance"
523300099,"Estonia",58.719713,24.5075441,36639.3332112168
525000199,"France, Bas-Rhin",48.5991783,7.5338186,376687.112098701
525000299,"France, Calvados",49.0907648,-0.2413951,21116.8018379925
525000399,"France, Doubs",47.0669915,6.2356228,351533.595491073
525001099,"France, Gironde",44.8837459,-0.6051264,4948.90255696398
525000499,"France, Haut-Rhin",47.8654746,7.2315433,399298.212621876
525000899,"France, Herault",43.5914424,3.355283,32312.3633818623
525000599,"France, Isere",45.2897932,5.6343825,198317.224537674
525001899,"France, Lille-Metropole",50.641835,3.0760812,62227.1566869546
525000999,"France, Limousin",45.6879095,1.6347606,183592.637617387
525001499,"France, Loire-Atlantique",47.3481614,-1.8727461,6521.52595912277
525001699,"France, Manche",49.0918952,-1.2454371,20248.4471096991
525000699,"France, Somme",49.9689714,2.373859,56018.8797751189
525000799,"France, Tarn",43.7921741,2.1339648,109526.817640382
525001199,"France, Territoire de Belfort",47.629231,6.8993012,383108.412958665
525001799,"France, Vendee",46.6757732,-1.2914463,32855.7127107066
527600399,"Germany, Bavaria",48.9467562,11.4038717,375978.345569231
527601299,"Germany, Bremen",53.0758196,8.8071646,37358.2818311014
527600299,"Germany, Hamburg",53.550341,10.000654,11201.6771534577
527600699,"Germany, Lower Saxony",52.8398531,9.075962,69220.7640711145
527600599,"Germany, Munich",48.1371079,11.5753822,287987.759115205
527601199,"Germany, North Rhine-Westphalia",51.4785568,7.5533645,198074.919972319
527600999,"Germany, Rhineland-Palatinate",49.7497346,7.4396553,279122.825365683
527603099,"Germany, Saarland",49.4173988,6.9805789,280506.983730014
527601699,"Germany, Schleswig-Holstein",54.1853998,9.8220089,25956.5363246968
535200099,"Iceland",64.9841821,-18.1059013,73729.1214279391
537200099,"Ireland",52.865196,-7.9794599,56308.0039202661
538005099,"Italy, Aosta Valley",45.730099,7.387426,178557.531852532
538004199,"Italy, Barletta",41.3214976,16.2868696,1153.80012056815
538004399,"Italy, Bergamo",45.6944947,9.6698727,152972.615307236
538001799,"Italy, Biella",45.5664109,8.0542758,137414.267715554
538004499,"Italy, Caserta",41.0820827,14.334708,27234.7755596688
538003799,"Italy, Catania, Messina and Enna",37.5577,14.28551,50782.0422585845
538003899,"Italy, Como",45.8115623,9.0830353,155024.945210759
538004599,"Italy, Cremona",45.1334796,10.0248716,106796.264729501
538001299,"Italy, Ferrara",44.8372737,11.6186451,51142.7587579702
538000199,"Italy, Florence and Prato",43.7761013,11.2417336,77960.8411490911
538001899,"Italy, Friuli-Venezia Giulia",46.151042,13.055904,42421.0509543644
538000399,"Italy, Latina",41.4672589,12.9035737,6899.65336595057
538003999,"Italy, Lecco",45.8553764,9.389605,164588.81557806
538004099,"Italy, Lombardy, South, Pavia",45.0368547,9.1378251,71527.1537336092
538002199,"Italy, Mantua",45.1566683,10.7917191,107663.696215652
538002699,"Italy, Milan",45.4668,9.1905,118904.364479844
538001099,"Italy, Modena",44.6458885,10.9255707,95718.5729831166
538004799,"Italy, Monza",45.5834418,9.2735257,133095.551130288
538001699,"Italy, Naples",40.8359336,14.2487826,198.099691331428
538003199,"Italy, Nuoro",40.3210601,9.3297339,26012.980284623
538003399,"Italy, Palermo",38.1112268,13.3524434,2816.52858667219
538000599,"Italy, Parma",44.8013678,10.3280833,86054.9914418269
538004899,"Italy, Piacenza",45.0534751,9.6947461,86022.2101238708
538000699,"Italy, Ragusa and Caltanissetta",36.7865261,14.9013245,6431.37020826922
538002399,"Italy, Reggio Emilia",44.6978446,10.6304958,86232.639610734
538000799,"Italy, Romagna",44.1349727,11.8473191,43584.0359249132
538001599,"Italy, Sassari",40.7232643,8.5610074,12013.2012919251
538002899,"Italy, Sondrio",46.1709447,9.8767107,201245.879989175
538003499,"Italy, South Tyrol",46.6559422,11.2296373,153460.881066269
538002999,"Italy, Syracuse",37.0646139,15.2907196,307.318832744837
538004999,"Italy, Taranto",40.4712427,17.2432278,745.379131637252
538001999,"Italy, Trento",46.0664228,11.1257601,111576.350441281
538000899,"Italy, Turin",45.0677551,7.6824892,105152.129276381
538001499,"Italy, Umbria",42.965916,12.490236,102349.137148471
538000499,"Italy, Varese",45.8182519,8.826895,154130.831328323
538001399,"Italy, Veneto",45.6476663,11.8665254,37740.6474716289
542800099,"Latvia",56.8406494,24.7537645,45646.4127973249
544000099,"Lithuania",55.3500003,23.7499997,156183.894375474
547000099,"Malta",35.8885993,14.4476911,6051.34907668428
552800099,"The Netherlands",52.2476498,5.5412468,69833.0538412909
557800099,"Norway",64.5731537,11.5280364,204.362036473747
561600799,"Poland, Kielce",50.8717388,20.6308626,399244.934971843
561600299,"Poland, Lower Silesia",50.953797,15.9151828,307829.76914252
561601199,"Poland, Lublin",51.250559,22.5701022,407288.797458095
561601299,"Poland, Podkarpackie",49.9927121,22.177107,524040.612332139
561601099,"Greater Poland",52.1458506,17.397672,248611.323461937
562000599,"Portugal, Azores",37.2577796,-28.030992,125670.068257787
564300699,"Russian Federation, Arkhangelsk",64.543022,40.537121,828.867105439162
564300599,"Russian Federation, Chelyabinsk",55.1598408,61.4025547,1087459.33514046
564300399,"Russian Federation, Karelia",62.6194031,33.4920267,208562.225566859
564300499,"Russian Federation, Samara",53.198627,50.113987,680555.624465595
570300099,"Slovakia",48.7411522,19.4528646,533330.796795208
570500099,"Slovenia",45.8133113,14.4808369,52382.3316813135
572400999,"Spain, Albacete",38.9890121,-1.8548699,137551.365579175
572400599,"Spain, Asturias",43.3133868,-5.94192,30281.3090331127
572400699,"Spain, Basque Country",42.9911816,-2.5543023,39126.0559353503
572401199,"Spain, Canary Islands",28.2935785,-16.6214471,11556.2633978781
572401599,"Spain, Castellon",40.2518568,-0.0615051,24297.8104333947
572401699,"Spain, Ciudad Real",38.959751,-3.8828283,245080.960382336
572401399,"Spain, Cuenca",40.0681156,-2.1348241,166814.276150702
572401099,"Spain, Girona",41.9793006,2.8199439,27355.7735583127
572400299,"Spain, Granada",37.183054,-3.6021928,48885.8531738809
572401499,"Spain, La Rioja",42.3285528,-2.4674917,109281.154766934
572400899,"Spain, Mallorca",39.6134018,2.8804305,15438.1019986527
572400399,"Spain, Murcia",37.9923795,-1.1305431,35520.221080688
572400499,"Spain, Navarra",42.6125488,-1.8307877,78793.2103724155
572400199,"Spain, Tarragona",41.1172364,1.2546057,702.671662516045
575601299,"Switzerland, Fribourg",46.6789116,7.1027113,280751.226184495
575600299,"Switzerland, Geneva",46.2017559,6.1466014,278582.023402387
575601199,"Switzerland, Graubunden and Glarus",46.8559938,9.1039546,270669.307427408
575600399,"Switzerland, Neuchatel",46.9895828,6.9292641,317511.226584311
575600499,"Switzerland, St Gall-Appenzell",47.33103,9.40996,302554.106808701
575601099,"Switzerland, Ticino",46.3356506,8.753706,211558.66721802
575600899,"Switzerland, Valais",46.2303063,7.6605757,217273.536632248
575600599,"Switzerland, Vaud",46.6356963,6.5320717,298929.930478849
575600699,"Switzerland, Zurich",47.3723941,8.5423328,327255.648664546
580400099,"Ukraine",49.4871968,31.2718321,250190.990421279
582600099,"United Kingdom",55.367,-3.9614184,43594.5352893692
582600199,"UK, England",52.7954791,-0.5402403,38451.8204040009
582601199,"UK, England, East",51.3811042,-2.3227594,29796.5048534247
582600799,"UK, England, East Midlands",52.7965752,-0.6718223,47036.6120739347
582601599,"UK, England, London",51.5073219,-0.1276474,36088.8900709934
582600999,"UK, England, North East",52.4160035,-1.9701231,76383.5598526751
582600399,"UK, England, North West",52.2370231,-0.4686149,78888.4048821999
582600699,"UK, England, South West",50.5947727,-1.9521987,1236.86168497446
582600499,"UK, England, South East",51.4510191,-0.9934914,67187.7482855373
582600299,"UK, England, West Midlands",52.5050033,-1.9643961,85737.5580158339
582601099,"UK, England, Yorkshire and The Humber",53.9318994,-1.1664717,38761.2678141554
582603099,"UK, Northern Ireland",54.6294982,-6.7654416,49981.8979345926
582602099,"UK, Scotland",56.7861112,-4.1140518,54492.8043607271
582604099,"UK, Wales",52.2928116,-3.73893,26504.7285268426
603600099,"Australia",-24.7761086,134.755,818412.36889664
603600299,"Australia, New South Wales",-31.8759835,147.2869493,412971.778385466
603600899,"Australia, Northern Territory",-19.8516101,133.2303375,569339.478936573
603600399,"Australia, Queensland",-22.1646782,144.5844903,393233.81591367
603600499,"South Australia",-30.5343665,135.6301212,255497.889956991
603600599,"Australia, Tasmania",-42.1422055,146.6723518,86610.0596232174
603600699,"Australia, Victoria",-36.5986096,144.6780052,142592.769663798
603600799,"Western Australia",-25.2303005,121.0187246,590447.564654309
625009399,"New Caledonia",-21.2356319,165.2443915,20529.1727343264
655400099,"New Zealand",-41.5000831,172.8344077,30674.0166558019
684009999,"USA, Hawaii",21.2160437,-157.975203,10035.6357397883
684009899,"USA, Pacific Islands",46.668153,-123.9615552,3195.44270461244
