"registry_code","discription","start","end","latitude","longitude"
538000799,"Italy, Romagna",2008,2012,44.1349727,11.8473191
538001599,"Italy, Sassari",2008,2011,40.7232643,8.5610074
538002899,"Italy, Sondrio",2008,2012,46.1709447,9.8767107
538003499,"Italy, South Tyrol",2008,2010,46.6559422,11.2296373
538002999,"Italy, Syracuse",2008,2012,37.0646139,15.2907196
538004999,"Italy, Taranto",2008,2011,40.4712427,17.2432278
538001999,"Italy, Trento",2008,2010,46.0664228,11.1257601
538000899,"Italy, Turin",2008,2012,45.0677551,7.6824892
538001499,"Italy, Umbria",2008,2011,42.965916,12.490236
538000499,"Italy, Varese",2008,2012,45.8182519,8.826895
538001399,"Italy, Veneto",2008,2010,45.6476663,11.8665254
542800099,"Latvia",2010,2012,56.8406494,24.7537645
544000099,"Lithuania",2008,2012,55.3500003,23.7499997
547000099,"Malta",2008,2012,35.8885993,14.4476911
552800099,"The Netherlands",2008,2012,52.2476498,5.5412468
557800099,"Norway",2008,2012,64.5731537,11.5280364
561600799,"Poland, Kielce",2008,2012,50.8717388,20.6308626
561600299,"Poland, Lower Silesia",2008,2012,50.953797,15.9151828
561601199,"Poland, Lublin",2008,2012,51.250559,22.5701022
561601299,"Poland, Podkarpackie",2008,2012,49.9927121,22.177107
561601099,"Greater Poland",2008,2012,52.1458506,17.397672
562000599,"Portugal, Azores",2008,2011,37.2577796,-28.030992
564300699,"Russian Federation, Arkhangelsk",2008,2012,64.543022,40.537121
564300599,"Russian Federation, Chelyabinsk",2008,2012,55.1598408,61.4025547
564300399,"Russian Federation, Karelia",2008,2012,62.6194031,33.4920267
564300499,"Russian Federation, Samara",2008,2012,53.198627,50.113987
570300099,"Slovakia",2008,2010,48.7411522,19.4528646
570500099,"Slovenia",2008,2012,45.8133113,14.4808369
572400999,"Spain, Albacete",2008,2010,38.9890121,-1.8548699
572400599,"Spain, Asturias",2008,2010,43.3133868,-5.94192
572400699,"Spain, Basque Country",2008,2012,42.9911816,-2.5543023
572401199,"Spain, Canary Islands",2008,2011,28.2935785,-16.6214471
572401599,"Spain, Castellon",2008,2012,40.2518568,-0.0615051
572401699,"Spain, Ciudad Real",2008,2011,38.959751,-3.8828283
