"registry_code","sex","age_group","number_of_cases","person_years_at_risk","discription","start","end","latitude","longitude"
171000199,1,8,1,86364,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,10,1,121206,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,18,1,0,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,14,11,40777,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,7,0,103953,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,7,1,137602,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,9,0,128543,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,17,3,0,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,9,2,69756,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,6,0,171640,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,13,13,56041,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,12,6,59591,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,1,0,359555,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,16,9,44358,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,4,0,359878,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,4,0,368823,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,10,2,66412,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,17,5,0,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,11,10,69378,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,3,0,352632,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,19,0,0,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,16,2,105173,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,14,5,67612,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,5,0,235146,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,15,9,37305,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,15,4,66810,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,19,0,0,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,13,6,88026,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,2,0,354724,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
